year,address,lat,lng,workers
2008,"Albany, OR, USA",44.6365107,-123.10592820000001,40
2008,"Baker City, OR 97814, USA",44.7748748,-117.8343848,1
2008,"Brownsville, OR 97327, USA",44.3934571,-122.9848108,3
2008,"Burns, OR 97720, USA",43.5862606,-119.05410320000001,1
2008,"Enterprise, OR 97828, USA",45.42626170000001,-117.2787815,3
2008,"Harrisburg, OR 97446, USA",44.274012299999995,-123.170648,4
2008,"Hubbard, OR, United States",45.182918548584006,-122.80506134033199,2
2008,"Ione, OR, United States",45.500980377197294,-119.828903198242,3
2008,"Jefferson, OR, United States",44.7184715270996,-123.010223388672,1
2008,"Juntura, OR 97911, USA",43.7446021,-118.07962490000001,5
2008,"Madras, OR, United States",44.6335296630859,-121.130096435547,6
2008,"Milton-Freewater, OR 97862, USA",45.9326346,-118.3877435,1
2008,"New Princeton, OR, United States",43.2831001281738,-118.582000732422,4
2008,"Pendleton, OR, United States",45.67179107666021,-118.78639984130899,14
2008,"Portland, OR, USA",45.52306220000001,-122.67648159999999,20
2008,"Roseburg, OR, United States",43.21089172363279,-123.343231201172,1
2008,"Terrebonne, OR, United States",44.3512992858887,-121.178237915039,1
2008,"Westfall, OR, United States",43.9925689697266,-117.711601257324,1
2009,"17789 Webster Rd, Gladstone, OR 97027, USA",45.39426829999999,-122.5858683,2
2009,"Albany, OR, USA",44.6365107,-123.10592820000001,15
2009,"Baker City, OR 97814, USA",44.7748748,-117.8343848,1
2009,"Brownsville, OR 97327, USA",44.3934571,-122.9848108,2
2009,"Burns, OR 97720, USA",43.5862606,-119.05410320000001,2
2009,"Enterprise, OR 97828, USA",45.42626170000001,-117.2787815,3
2009,"Harrisburg, OR 97446, USA",44.274012299999995,-123.170648,3
2009,"Hubbard, OR, United States",45.182918548584006,-122.80506134033199,2
2009,"Ione, OR, United States",45.500980377197294,-119.828903198242,13
2009,"Jefferson, OR, United States",44.7184715270996,-123.010223388672,1
2009,"Juntura, OR 97911, USA",43.7446021,-118.07962490000001,2
2009,"Madras, OR, United States",44.6335296630859,-121.130096435547,9
2009,"Milton-Freewater, OR 97862, USA",45.9326346,-118.3877435,2
2009,"New Princeton, OR, United States",43.2831001281738,-118.582000732422,3
2009,"Pendleton, OR, United States",45.67179107666021,-118.78639984130899,7
2009,"Roseburg, OR, United States",43.21089172363279,-123.343231201172,1
2009,"Westfall, OR, United States",43.9925689697266,-117.711601257324,2
2010,"Albany, OR, USA",44.6365107,-123.10592820000001,22
2010,"Baker City, OR 97814, USA",44.7748748,-117.8343848,1
2010,"Burns, OR 97720, USA",43.5862606,-119.05410320000001,1
2010,"Enterprise, OR 97828, USA",45.42626170000001,-117.2787815,3
2010,"Hubbard, OR, United States",45.182918548584006,-122.80506134033199,2
